player_id,stagione,nome,ruolo,ruolo_mantra,squadra,quotazione_attuale,quotazione_iniziale,diff_quotazione,fvm,ceduto,indice_finale,rank_ruolo,totale_ruolo,rank_generale,totale_generale,performance_score,reliability_score,forma_attuale_score,titolarita_score,presenze_pesate,fantamedia,media_voto,presenze_totali,presenza_pct,presenze_medie,gol_stagione,assist_stagione,gs_stagione,rigori_parati,varianza_voto,varianza_gol,ammonizioni,espulsioni,titolarita,is_titolare,infortunato,desc_infortunio,squalificato,rigorista_pos,punizioni_pos,updated_at
6151,2026-27,Perrone,C,M;C,COMO,10,10,0,34,False,62.9,31.0,191.0,83.0,560.0,54.63,63.24,27.89,49.61,18.85,6.25,6.1,63,55.3,21.0,1.0,2.3,0.0,0.0,0.3,0.077,4.7,0.0,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
2848,2026-27,Frattesi,C,C;T,LAZIO,10,7,3,75,False,67.59,20.0,191.0,51.0,560.0,50.84,68.61,50.0,61.71,23.45,6.67,6.15,139,61.0,23.2,4.0,1.2,0.0,0.0,0.376,0.256,1.8,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
4220,2026-27,Zambo Anguissa,C,C,NAPOLI,10,11,-1,41,False,70.31,15.0,191.0,32.0,560.0,61.26,81.17,4.08,73.18,27.81,6.47,6.17,147,64.5,24.5,2.2,2.2,0.0,0.0,0.376,0.211,2.7,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
7223,2026-27,Vergara,C,W;T,NAPOLI,10,8,2,35,False,50.8,62.0,191.0,171.0,560.0,50.16,35.58,48.3,7.37,2.8,7.06,6.39,9,11.8,4.5,1.0,0.5,0.0,0.0,0.361,0.194,1.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
5589,2026-27,Konè M.,C,M;C,ROMA,10,10,0,42,False,68.48,17.0,191.0,43.0,560.0,62.47,67.79,41.16,48.42,18.4,6.45,6.27,64,56.1,21.3,1.3,1.3,0.0,0.0,0.285,0.099,3.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
5844,2026-27,Thorstvedt,C,C;T,SASSUOLO,10,10,0,39,False,61.77,35.0,191.0,97.0,560.0,49.61,63.13,27.89,54.34,20.65,6.36,6.03,92,60.5,23.0,3.0,1.2,0.0,0.0,0.299,0.199,5.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6274,2026-27,Diouf,C,E;C,INTER,9,8,1,43,False,50.18,65.0,191.0,176.0,560.0,47.11,34.37,45.58,9.21,3.5,6.68,6.23,11,14.5,5.5,0.5,1.0,0.0,0.0,0.418,0.091,0.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
7070,2026-27,Sucic P.,C,C,INTER,9,8,1,21,False,52.04,57.0,191.0,159.0,560.0,47.97,45.58,41.16,25.79,9.8,6.28,6.1,30,39.5,15.0,1.0,1.0,0.0,0.0,0.3,0.069,2.5,0.0,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
827,2026-27,Locatelli,C,M;C,JUVENTUS,9,8,1,33,False,72.88,6.0,191.0,19.0,560.0,58.13,90.51,41.16,90.5,34.39,6.21,6.12,168,73.7,28.0,1.2,2.2,0.0,0.0,0.273,0.154,6.5,0.0,panchina,False,True,"rottura del menisco esterno del ginocchio, ipotesi di rientro in campo da gennaio",False,,2.0,2026-09-09T13:29:56.628602+00:00
5562,2026-27,Thuram K.,C,C,JUVENTUS,9,10,-1,25,False,63.78,28.0,191.0,76.0,560.0,59.39,68.66,0.0,53.03,20.15,6.57,6.2,67,88.2,33.5,3.5,3.5,0.0,0.0,0.326,0.14,3.5,0.0,panchina,False,True,"sindrome femoro-rotulea, ipotesi rientro da gennaio",False,,,2026-09-09T13:29:56.628602+00:00
5500,2026-27,Cancellieri,C,W;A,LAZIO,9,9,0,25,False,42.72,79.0,191.0,227.0,560.0,16.26,46.69,15.31,63.08,23.97,6.21,5.91,100,43.9,16.7,2.0,0.5,0.0,0.0,0.366,0.215,2.8,0.2,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
6398,2026-27,Isaksen,C,W;A,LAZIO,9,9,0,22,False,59.17,41.0,191.0,110.0,560.0,47.61,65.21,27.89,61.32,23.3,6.45,6.05,89,58.6,22.2,3.0,0.8,0.0,0.0,0.37,0.215,1.8,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
5878,2026-27,Colpani,C,T,MONZA,9,8,1,15,False,46.9,74.0,191.0,197.0,560.0,39.37,49.81,15.31,43.37,16.48,6.61,6.06,88,57.9,22.0,3.8,1.2,0.0,0.0,0.336,0.211,0.8,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
536,2026-27,Politano,C,W,NAPOLI,9,10,-1,37,False,70.11,16.0,191.0,33.0,560.0,57.47,88.17,6.46,88.0,33.44,6.57,6.13,163,71.5,27.2,3.2,3.7,0.0,0.0,0.312,0.239,2.3,0.2,titolare,True,False,,False,3.0,2.0,2026-09-09T13:29:56.628602+00:00
779,2026-27,Cristante,C,M;C,ROMA,9,8,1,29,False,71.31,10.0,191.0,25.0,560.0,56.32,89.25,41.16,90.5,34.39,6.21,6.07,174,76.3,29.0,2.0,1.5,0.0,0.0,0.292,0.186,6.3,0.2,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
5735,2026-27,Volpato,C,W;T,SASSUOLO,9,7,2,25,False,57.19,46.0,191.0,120.0,560.0,53.74,50.87,46.26,30.39,11.55,6.49,6.06,47,24.7,9.4,1.2,1.0,0.0,0.0,0.409,0.161,1.2,0.0,panchina,False,True,"lesione di grado moderato al flessore della gamba destra, rientro da inizio ottobre",False,,,2026-09-09T13:29:56.628602+00:00
5888,2026-27,Casadei,C,C;T,TORINO,9,10,-1,27,False,47.97,73.0,191.0,194.0,560.0,35.18,44.24,5.44,39.34,14.95,6.36,5.97,48,42.1,16.0,2.3,0.3,0.0,0.0,0.366,0.165,2.0,0.0,panchina,False,True,"affaticamento muscolare, da valutare contro la Roma",False,,,2026-09-09T13:29:56.628602+00:00
530,2026-27,Pellegrini Lo.,C,C;T,ROMA,9,10,-1,20,False,50.14,66.0,191.0,177.0,560.0,30.16,59.45,0.0,69.61,26.45,6.62,6.03,137,72.1,27.4,5.4,2.8,0.0,0.0,0.457,0.254,4.8,0.2,panchina,False,False,,False,,3.0,2026-09-09T13:29:56.628602+00:00
